product price,product original price,product star rating,product num ratings,product num offers,product minimum offer price,is best seller,is amazon choice,is prime,climate pledge friendly,has variations,discount pourcentage,sales volume in k,normal delivery,preorder delivery
99.99,169.99,4.0,2929,10,64.89,0,0,1,0,1,41.178892876051535,6000,1,0
149.74,158.0,4.2,135,8,145.87,0,0,1,0,0,5.227848101265817,3000,1,0
49.88,56.95,3.9,205,1,49.88,0,0,1,0,0,12.414398595259,2000,1,0
335.0,499.0,4.3,2248,30,289.99,0,0,0,0,1,32.86573146292585,10000,1,0
129.99,137.65,4.2,578,13,128.12,0,0,1,0,0,5.564838358154738,3000,1,0
349.99,399.99,4.4,109,2,267.01,0,0,1,1,1,12.500312507812694,3000,1,0
49.39,56.95,4.2,2771,1,49.39,0,0,1,0,0,13.274802458296756,500,1,0
87.1,105.0,3.9,613,10,81.18,0,0,1,0,1,17.047619047619055,1000,1,0
129.99,149.99,4.1,94,4,94.99,0,0,1,0,0,13.334222281485431,1000,1,0
70.61,87.14,3.9,462,31,61.56,0,0,1,0,1,18.969474408997016,2000,1,0
48.75,56.95,4.3,26685,4,21.36,1,0,1,0,0,14.398595258999125,5000,1,0
499.0,699.0,4.3,2098,10,409.99,0,0,1,0,1,28.612303290414882,2000,1,0
199.99,272.34,4.2,2258,7,179.89,0,0,1,0,1,26.56605713446426,2000,1,0
38.67,40.5,4.4,37513,25,19.85,0,1,1,0,0,4.518518518518514,3000,1,0
23.99,29.0,4.6,4355,4,22.04,0,1,1,0,0,17.275862068965523,10000,1,0
84.99,99.0,4.7,390,3,81.59,0,0,1,0,0,14.151515151515156,10000,1,0
0.25,56.95,4.7,8010,1,0.25,0,0,1,0,0,48.68655253146035,30000,1,0
0.49,56.95,4.8,13638,1,0.49,1,0,1,0,0,48.68655253146035,40000,1,0
2.39,56.95,4.8,54922,1,2.39,1,0,1,0,0,95.80333625987709,10000,1,0
55.99,56.95,4.0,3075,1,55.99,1,0,1,0,0,1.6856892010535571,700,0,1
6.68,56.95,4.7,628,1,6.68,1,0,1,0,0,88.270412642669,40000,1,0
28.79,31.99,4.5,1142,2,28.5,1,0,1,0,0,10.00312597686777,100000,1,0
12.99,56.95,4.5,27686,2,9.99,0,0,1,0,0,77.19051799824406,10000,1,0
22.18,56.95,4.8,36930,1,22.18,0,0,1,0,0,61.053555750658475,60000,1,0
179.99,249.0,4.6,2687,4,172.79,0,0,1,0,0,27.714859437751,10000,1,0
24.49,56.95,4.4,0,1,24.49,1,0,1,0,0,56.99736611062336,500,0,1
11.99,56.95,4.2,51,24,10.78,1,0,1,0,0,78.94644424934152,50,1,0
29.99,56.95,3.2,204,1,29.99,0,0,1,0,0,47.33977172958737,500,0,1
22.0,56.95,4.4,25391,1,22.0,0,0,1,0,1,61.36962247585601,2000,1,0
39.99,56.95,4.4,0,1,39.99,1,0,1,0,0,29.780509218612817,900,0,1
5.99,56.95,4.7,2440,1,5.99,0,0,0,0,0,89.48200175592625,2023,1,0
34.98,56.95,4.4,0,1,34.98,0,0,0,0,0,38.57769973661107,50,0,1
59.99,84.99,4.0,48154,1,59.99,1,0,0,1,0,29.41522532062595,80000,1,0
